pmid	title	abstract
37000001	Dopaminergic neuron degeneration in Parkinson's disease	Loss of dopaminergic neurons in the substantia nigra is a hallmark of Parkinson's disease, with α-synuclein aggregation implicated in pathogenesis.
37000002	Beta-amyloid and tau interplay in Alzheimer disease	We review recent evidence on amyloid-beta plaques and tau tangles driving synaptic dysfunction and cognitive decline in Alzheimer disease.
37000003	Metabolic control in type 2 diabetes mellitus	Insulin resistance and pancreatic beta-cell dysfunction underlie hyperglycemia in T2DM; lifestyle and GLP-1 agonists improve outcomes.
37000004	Biomarkers for myocardial infarction	High-sensitivity troponin and novel microRNA signatures enable earlier detection of myocardial infarction and risk stratification.
37000005	Asthma endotypes and targeted biologics	Type 2 inflammation and eosinophilic pathways define asthma endotypes; biologics targeting IL-5 and IL-4R improve exacerbation control.
37000006	Gene therapy approaches for ALS	Emerging antisense oligonucleotide and AAV-mediated gene therapies target SOD1 and C9orf72 in amyotrophic lateral sclerosis.
37000007	Atherosclerosis as an inflammatory disease	Plaque formation involves lipid accumulation and chronic inflammation; PCSK9 inhibitors and anti-inflammatory agents reduce events.
37000008	Chronic kidney disease and cardiorenal syndrome	Bidirectional heart-kidney interactions exacerbate outcomes; SGLT2 inhibitors offer renal and cardiovascular protection.
37000009	COPD phenotypes and precision therapy	Heterogeneous COPD phenotypes require tailored treatments; exacerbation prevention and pulmonary rehab remain central.
37000010	Osteoporosis fracture risk prediction	Bone mineral density and clinical risk factors inform fracture risk; novel agents modulate bone remodeling to improve strength.
