id	label	definition
MONDO:0004979	Alzheimer disease	A progressive neurodegenerative disorder characterized by memory loss and cognitive decline.
MONDO:0006047	Parkinson disease	A movement disorder due to loss of dopaminergic neurons with tremor and rigidity.
MONDO:0005148	Breast carcinoma	A malignant neoplasm arising from the epithelial cells of the breast tissue.
MONDO:0008601	Type 2 diabetes mellitus	A metabolic disease characterized by insulin resistance and hyperglycemia.
MONDO:0019391	Atherosclerosis	A condition in which the arteries narrow due to plaque buildup, elevating risk of heart attack.
MONDO:0007254	Asthma	A chronic inflammatory disease of the airways characterized by variable airflow obstruction.
MONDO:0020121	Chronic kidney disease	A long-term condition where the kidneys do not work as well as they should.
MONDO:0005147	Lung carcinoma	A malignant tumor of the lung, often associated with smoking but also occurring in non-smokers.
MONDO:0019392	Coronary artery disease	A disease of the coronary arteries characterized by reduced blood flow to the heart muscle.
MONDO:0013373	Amyotrophic lateral sclerosis	A progressive neurodegenerative disease affecting motor neurons leading to muscle weakness.
MONDO:0005139	Colorectal carcinoma	A malignant epithelial neoplasm of the colon or rectum.
MONDO:0005149	Prostate carcinoma	A malignant neoplasm originating in the prostate gland.
MONDO:0001627	Hypertension	A condition in which the blood pressure in the arteries is persistently elevated.
MONDO:0001629	Myocardial infarction	Commonly known as a heart attack; necrosis of the myocardium due to ischemia.
MONDO:0001622	Heart failure	A clinical syndrome where the heart is unable to pump sufficient blood to meet the body's needs.
MONDO:0005010	Epilepsy	A neurological disorder characterized by recurrent unprovoked seizures.
MONDO:0019393	Stroke	A sudden loss of brain function due to disturbance in the blood supply to the brain.
MONDO:0009061	Rheumatoid arthritis	An autoimmune disease that causes chronic inflammation of joints and other areas of the body.
MONDO:0007256	Chronic obstructive pulmonary disease	A group of progressive lung diseases including emphysema and chronic bronchitis.
MONDO:0019952	Osteoporosis	A skeletal disorder characterized by compromised bone strength predisposing to an increased risk of fracture.
